ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title	Gene.ID
96648_at	0.024401	1.17e-04	31.311.437	Coro1a	coronin, actin binding protein 1A	12721
161057_at	0.024401	1.18e-04	31.206.018	Actr10	ARP10 actin-related protein 10	56444
92850_at	0.030998	1.54e-04	29.060.615	Rrbp1	ribosome binding protein 1	81910
104149_at	0.030998	1.58e-04	28.850.967	Nfkbia	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	18035
97574_f_at	0.030998	1.59e-04	28.828.132	Ighg3	Immunoglobulin heavy constant gamma 3	380795
97519_at	0.031431	1.67e-04	28.444.876	Spp1	secreted phosphoprotein 1	20750
99872_s_at	0.031431	1.67e-04	28.441.225	LOC100862446///Ftl1-ps2///Ftl1	ferritin light chain 1///ferritin light polypeptide, pseudogene 2///ferritin light polypeptide 1	100862446///434624///14325
161064_f_at	0.031937	1.73e-04	28.184.362	Phf7	PHD finger protein 7	71838
97125_f_at	0.033637	1.85e-04	27.662.624	H2-K1	histocompatibility 2, K1, K region	14972
101487_f_at	0.033837	1.93e-04	27.365.774	Ly6e	lymphocyte antigen 6 complex, locus E	17069
93290_at	0.033837	1.95e-04	27.277.583	Pnp	purine-nucleoside phosphorylase	18950
97949_at	0.033837	1.97e-04	27.184.887	Fgl2	fibrinogen-like protein 2	14190
103080_at	0.033837	1.99e-04	27.124.464	Samhd1	SAM domain and HD domain, 1	56045
95705_s_at	0.0339	2.03e-04	26.993.535	Actb	actin, beta	11461
104701_at	0.033982	2.09e-04	26.771.589	Bhlhe40	basic helix-loop-helix family, member e40	20893
97206_at	0.033982	2.10e-04	26.748.096	Spint1	serine protease inhibitor, Kunitz type 1	20732
101578_f_at	0.035819	2.24e-04	26.258.912	Actb	actin, beta	11461
93497_at	0.042474	2.70e-04	24.962.253	C3	complement component 3	12266
96657_at	0.042531	2.77e-04	24.792.407	Sat1	spermidine/spermine N1-acetyl transferase 1	20229
92694_at	0.042531	2.78e-04	24.752.567	Chil3	chitinase-like 3	12655
100711_at	0.043132	2.86e-04	24.560.032	LOC102642173///Rpl10a	60S ribosomal protein L10a-like///ribosomal protein L10A	102642173///19896
103446_at	0.043266	2.91e-04	24.443.631	Ifih1	interferon induced with helicase C domain 1	71586
93066_at	0.043952	3.00e-04	24.244.609	Grn	granulin	14824
93592_at	0.045768	3.17e-04	23.884.762	Apod	apolipoprotein D	11815
161594_f_at	0.046241	3.25e-04	23.727.679	Galm	galactose mutarotase	319625
93858_at	0.047619	3.41e-04	23.402.568	Cxcl10	chemokine (C-X-C motif) ligand 10	15945
98589_at	0.047619	3.44e-04	23.350.873	Plin2	perilipin 2	11520
95647_f_at	0.047619	3.52e-04	23.210.519	Mob1a	MOB kinase activator 1A	232157
102077_at	0.047619	3.52e-04	2.319.553			
96207_at	0.047968	3.61e-04	23.044.157	Rbms1	RNA binding motif, single stranded interacting protein 1	56878
160668_at	0.047968	3.64e-04	22.986.566	Ogfr	opioid growth factor receptor	72075
162206_f_at	0.048506	3.73e-04	22.836.576	Socs3	suppressor of cytokine signaling 3	12702
93120_f_at	0.048712	3.84e-04	22.655.919	H2-K1	histocompatibility 2, K1, K region	14972
99378_f_at	0.048712	3.84e-04	22.655.506	H2-Q4	histocompatibility 2, Q region locus 4	15015
96416_f_at	0.048886	3.92e-04	22.525.667	Hist1h3a///Hist2h3b///Hist1h3i///Hist1h3h///Hist1h3e///Hist1h3b///Hist1h3d///Hist1h3c///Hist1h3f///Hist1h3g///Hist2h3c2///Hist2h3c1	histone cluster 1, H3a///histone cluster 2, H3b///histone cluster 1, H3i///histone cluster 1, H3h///histone cluster 1, H3e///histone cluster 1, H3b///histone cluster 1, H3d///histone cluster 1, H3c///histone cluster 1, H3f///histone cluster 1, H3g///histone cluster 2, H3c2///histone cluster 2, H3c1	360198///319154///319153///319152///319151///319150///319149///319148///260423///97908///97114///15077
104597_at	0.048886	4.01e-04	22.372.203	Gbp2	guanylate binding protein 2	14469
104499_at	0.048886	4.03e-04	22.351.288	Homer1	homer scaffolding protein 1	26556
160469_at	0.048886	4.03e-04	2.233.834	Pald1///Thbs1	phosphatase domain containing, paladin 1///thrombospondin 1	27355///21825
97540_f_at	0.048913	4.08e-04	2.226.386	H2-D1	histocompatibility 2, D region locus 1	14964
160150_f_at	0.05056	4.29e-04	21.954.681	Cnn3	calponin 3, acidic	71994
101561_at	0.05056	4.35e-04	21.876.582	Mt2	metallothionein 2	17750
93283_at	0.05056	4.39e-04	21.811.892	Aprt	adenine phosphoribosyl transferase	11821
160308_at	0.05056	4.41e-04	21.786.521	Msn	moesin	17698
101510_at	0.050578	4.46e-04	21.718.479	Psme1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	19186
93085_at	0.053948	4.83e-04	21.239.036	Psmb9	proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)	16912
101464_at	0.053948	4.91e-04	21.145.649	Timp1	tissue inhibitor of metalloproteinase 1	21857
102712_at	0.053948	4.99e-04	21.052.822	Saa3	serum amyloid A 3	20210
103033_at	0.053948	4.99e-04	21.050.823	C4a///C4b	complement component 4A (Rodgers blood group)///complement component 4B (Chido blood group)	625018///12268
104671_at	0.053948	5.02e-04	21.017.182	Ampd3	adenosine monophosphate deaminase 3	11717
92308_at	0.055385	5.20e-04	20.802.411	Ptprm	protein tyrosine phosphatase, receptor type, M	19274
92217_s_at	0.058632	5.61e-04	20.360.803	Lilrb4a///Lilr4b	leukocyte immunoglobulin-like receptor, subfamily B, member 4A///leukocyte immunoglobulin-like receptor, subfamily B, member 4B	14728///14727
97200_f_at	0.058632	5.62e-04	20.354.801	Snrpe	small nuclear ribonucleoprotein E	20643
98438_f_at	0.059526	5.76e-04	20.211.186	H2-Q9///H2-Q7///H2-Q5	histocompatibility 2, Q region locus 9///histocompatibility 2, Q region locus 7///histocompatibility 2, Q region locus 5	110558///15018///15016
94915_at	0.060102	5.87e-04	20.100.367	Ppib	peptidylprolyl isomerase B	19035
161657_f_at	0.063906	6.30e-04	19.698.544	Gm5621///Rpl10	predicted gene 5621///ribosomal protein L10	434434///110954
99071_at	0.064327	6.41e-04	19.608.222	Mpeg1	macrophage expressed gene 1	17476
94914_at	0.064627	6.50e-04	19.529.404	Lypd8	LY6/PLAUR domain containing 8	70163
99849_at	0.066128	6.71e-04	19.349.845	Wdr92	WD repeat domain 92	103784
98045_s_at	0.068502	7.02e-04	19.104.114	Dab2	disabled 2, mitogen-responsive phosphoprotein	13132
162271_f_at	0.068502	7.08e-04	19.054.326	Ctsb	cathepsin B	13030
96562_at	0.070833	7.39e-04	18.823.008	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	18173
103987_at	0.070973	7.47e-04	18.763.481	Mog	myelin oligodendrocyte glycoprotein	17441
100581_at	0.075256	8.06e-04	18.361.566	Cstb	cystatin B	13014
94384_at	0.075256	8.12e-04	18.319.497	Ier3	immediate early response 3	15937
101876_s_at	0.075256	8.15e-04	18.301.138	H2-T9///H2-T22///H2-T10	histocompatibility 2, T region locus 9///histocompatibility 2, T region locus 22///histocompatibility 2, T region locus 10	15051///15039///15024
102424_at	0.075256	8.21e-04	18.262.252	Ccl3	chemokine (C-C motif) ligand 3	20302
101590_at	0.076174	8.38e-04	18.152.878	Lamp2	lysosomal-associated membrane protein 2	16784
160493_at	0.077217	8.82e-04	17.884.869	Cd63	CD63 antigen	12512
100475_at	0.077217	8.87e-04	17.857.855	Trim25	tripartite motif-containing 25	217069
160182_at	0.077217	8.98e-04	17.796.181	Srsf6	serine/arginine-rich splicing factor 6	67996
100880_at	0.077217	9.00e-04	17.781.677	Gbp7	guanylate binding protein 7	229900
160273_at	0.077217	9.05e-04	17.756.137	Zfp36l2	zinc finger protein 36, C3H type-like 2	12193
102906_at	0.077217	9.22e-04	17.658.947	Tgtp2///Tgtp1	T cell specific GTPase 2///T cell specific GTPase 1	100039796///21822
99340_at	0.077217	9.29e-04	17.619.631	Rack1	receptor for activated C kinase 1	14694
97444_at	0.077217	9.39e-04	17.565.283	Ifi30	interferon gamma inducible protein 30	65972
94484_at	0.077217	9.40e-04	17.558.055	Hbs1l	Hbs1-like (S. cerevisiae)	56422
161326_f_at	0.077217	9.40e-04	17.556.823	Serpina6	serine (or cysteine) peptidase inhibitor, clade A, member 6	12401
93350_f_at	0.077217	9.42e-04	17.549.671	Zfp422	zinc finger protein 422	67255
96614_at	0.077217	9.44e-04	17.540.266	Susd6	sushi domain containing 6	217684
160901_at	0.077217	9.45e-04	17.532.804	Fos	FBJ osteosarcoma oncogene	14281
98304_at	0.077619	9.64e-04	17.433.381	Tlr6	toll-like receptor 6	21899
101979_at	0.077619	9.65e-04	17.428.016	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma	23882
104300_at	0.07979	9.99e-04	17.250.038	Iqgap1	IQ motif containing GTPase activating protein 1	29875
98776_at	0.082519	1.04e-03	17.043.665	Ighg///Igh-VS107///Igh-VJ558///Igh-V7183	Immunoglobulin heavy chain (gamma polypeptide)///immunoglobulin heavy chain (S107 family)///immunoglobulin heavy chain (J558 family)///immunoglobulin heavy chain (V7183 family)	380794///16065///16061///16059
101115_at	0.08263	1.05e-03	16.999.629	Ltf	lactotransferrin	17002
160527_at	0.082957	1.06e-03	16.943.022	Igfbp7	insulin-like growth factor binding protein 7	29817
162112_i_at	0.083304	1.07e-03	1.688.571	Capn2	calpain 2	12334
104728_at	0.086948	1.13e-03	16.638.912	Pros1	protein S (alpha)	19128
161666_f_at	0.087232	1.17e-03	16.478.748	Gadd45b	growth arrest and DNA-damage-inducible 45 beta	17873
93753_at	0.087232	1.18e-03	16.435.325	Litaf	LPS-induced TN factor	56722
95303_at	0.087232	1.19e-03	16.396.948	Ifitm6	interferon induced transmembrane protein 6	213002
101554_at	0.087232	1.19e-03	16.390.106	Nfkbia	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	18035
102353_at	0.087232	1.20e-03	16.339.547	Itgb2	integrin beta 2	16414
98628_f_at	0.087232	1.21e-03	16.314.271	Hif1a	hypoxia inducible factor 1, alpha subunit	15251
104177_at	0.087232	1.21e-03	16.287.281	Rsad2	radical S-adenosyl methionine domain containing 2	58185
93573_at	0.087232	1.22e-03	16.276.125	Mt1	metallothionein 1	17748
161125_at	0.087232	1.22e-03	16.274.118			
93717_at	0.087232	1.22e-03	16.248.962	Ccl12	chemokine (C-C motif) ligand 12	20293
100328_s_at	0.087232	1.22e-03	16.248.666	Gm15448///Gm14548///Gm10693///Pirb///Pira7///Pira6///Pira5///Pira4///Lilra6///Pira2///Pira11///Pira1	predicted gene 15448///predicted gene 14548///predicted pseudogene 10693///paired Ig-like receptor B///paired-Ig-like receptor A7///paired-Ig-like receptor A6///paired-Ig-like receptor A5///paired-Ig-like receptor A4///leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6///paired-Ig-like receptor A2///paired-Ig-like receptor A11///paired-Ig-like receptor A1	100041146///100038909///675749///18733///18730///18729///18728///18727///18726///18725///18724///18722
92802_s_at	0.088016	1.24e-03	16.173.476	Plp1	proteolipid protein (myelin) 1	18823
101886_f_at	0.088574	1.28e-03	16.055.078	H2-L///H2-D1	histocompatibility 2, D region locus L///histocompatibility 2, D region locus 1	14980///14964
101145_at	0.088574	1.28e-03	1.605.015	Cep250	centrosomal protein 250	16328
94079_at	0.088574	1.28e-03	16.041.793	Sep-04	septin 4	18952
104509_at	0.088574	1.29e-03	16.017.112	Ch25h	cholesterol 25-hydroxylase	12642
103039_at	0.088836	1.31e-03	15.943.435	Itga5	integrin alpha 5 (fibronectin receptor alpha)	16402
101054_at	0.088836	1.31e-03	15.941.529	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	16149
97541_f_at	0.090577	1.34e-03	15.806.759	H2-D1	histocompatibility 2, D region locus 1	14964
102914_s_at	0.090577	1.35e-03	15.789.629	Mthfs///Bcl2a1d///Bcl2a1c///Bcl2a1b///Bcl2a1a	5, 10-methenyltetrahydrofolate synthetase///B cell leukemia/lymphoma 2 related protein A1d///B cell leukemia/lymphoma 2 related protein A1c///B cell leukemia/lymphoma 2 related protein A1b///B cell leukemia/lymphoma 2 related protein A1a	107885///12047///12046///12045///12044
100154_at	0.090638	1.36e-03	1.575.669	Tapbp	TAP binding protein	21356
93104_at	0.090773	1.37e-03	1.570.058	Btg1	B cell translocation gene 1, anti-proliferative	12226
100059_at	0.090773	1.38e-03	15.674.181	Cyba	cytochrome b-245, alpha polypeptide	13057
96426_at	0.090773	1.39e-03	15.644.042	Tmsb4x	thymosin, beta 4, X chromosome	19241
103963_f_at	0.090773	1.39e-03	15.632.908	Iigp1	interferon inducible GTPase 1	60440
93023_f_at	0.090807	1.43e-03	15.520.612	Hist1h3a///Hist2h3b///Hist1h3i///Hist1h3h///Hist1h3e///Hist1h3b///Hist1h3d///Hist1h3c///Hist1h3f///Hist1h3g///Hist2h3c2///Hist2h3c1	histone cluster 1, H3a///histone cluster 2, H3b///histone cluster 1, H3i///histone cluster 1, H3h///histone cluster 1, H3e///histone cluster 1, H3b///histone cluster 1, H3d///histone cluster 1, H3c///histone cluster 1, H3f///histone cluster 1, H3g///histone cluster 2, H3c2///histone cluster 2, H3c1	360198///319154///319153///319152///319151///319150///319149///319148///260423///97908///97114///15077
160610_at	0.090807	1.43e-03	15.507.911	Pcdhac2///Pcdhac1///Pcdha8///Pcdha2///Pcdha12///Pcdha3///Pcdha9///Pcdha1///Pcdha10///Pcdha11///Pcdha5///Pcdha7///Pcdha6///Pcdha4	protocadherin alpha subfamily C, 2///protocadherin alpha subfamily C, 1///protocadherin alpha 8///protocadherin alpha 2///protocadherin alpha 12///protocadherin alpha 3///protocadherin alpha 9///protocadherin alpha 1///protocadherin alpha 10///protocadherin alpha 11///protocadherin alpha 5///protocadherin alpha 7///protocadherin alpha 6///protocadherin alpha 4	353237///353236///353235///353234///192164///192163///192161///116731///12943///12942///12941///12939///12937///12936
100720_at	0.090807	1.44e-03	1.548.873	Pabpc1	poly(A) binding protein, cytoplasmic 1	18458
103855_at	0.090807	1.45e-03	1.545.728	Plec	plectin	18810
101198_at	0.090807	1.45e-03	15.452.992	Cplx1	complexin 1	12889
103394_at	0.090807	1.46e-03	15.430.286	Fxyd5	FXYD domain-containing ion transport regulator 5	18301
96912_s_at	0.090807	1.46e-03	15.416.292	Ctla2b///Ctla2a	cytotoxic T lymphocyte-associated protein 2 beta///cytotoxic T lymphocyte-associated protein 2 alpha	13025///13024
98088_at	0.090807	1.46e-03	15.407.901	Cd14	CD14 antigen	12475
93038_f_at	0.091364	1.48e-03	15.352.813	Anxa1	annexin A1	16952
100686_at	0.094376	1.54e-03	15.177.851	Gm8842///Gm8841///Gm10420///Gm6139///Rps2	predicted gene 8842///predicted gene 8841///predicted gene 10420///predicted gene 6139///ribosomal protein S2	667847///667846///639606///620248///16898
99669_at	0.098063	1.61e-03	14.978.052	Lgals1	lectin, galactose binding, soluble 1	16852
93108_at	0.098332	1.62e-03	14.939.757	P4hb	prolyl 4-hydroxylase, beta polypeptide	18453
103629_g_at	0.098866	1.64e-03	1.488.971	Lef1	lymphoid enhancer binding factor 1	16842
93988_at	0.099851	1.67e-03	14.814.936	Psma7	proteasome (prosome, macropain) subunit, alpha type 7	26444
160993_at	0.099851	1.68e-03	14.794.534	Iqgap2	IQ motif containing GTPase activating protein 2	544963
93871_at	0.100281	1.69e-03	14.750.274	Il1rn	interleukin 1 receptor antagonist	16181
104578_f_at	0.100627	1.71e-03	14.710.028	Actn1	actinin, alpha 1	109711
101909_f_at	0.101394	1.74e-03	14.628.789	Mup3	major urinary protein 3	17842
161595_at	0.101394	1.74e-03	14.627.097	Zeb1	zinc finger E-box binding homeobox 1	21417
95012_at	0.101652	1.75e-03	14.591.559	Slc22a17	solute carrier family 22 (organic cation transporter), member 17	59049
94301_at	0.102068	1.77e-03	14.549.349	Atp6v0e	ATPase, H+ transporting, lysosomal V0 subunit E	11974
96186_at	0.102385	1.79e-03	14.503.291	Lrp10	low-density lipoprotein receptor-related protein 10	65107
104486_at	0.102385	1.80e-03	14.487.943	A2m	alpha-2-macroglobulin	232345
161294_f_at	0.104455	1.86e-03	14.336.168	Clu	clusterin	12759
94153_g_at	0.104455	1.87e-03	14.315.838	Mucl1///Mucl2	mucin-like 1///mucin-like 2	20771///20770
102255_at	0.104455	1.87e-03	1.430.827	Osmr	oncostatin M receptor	18414
103209_at	0.104455	1.88e-03	14.283.725	Ltbp1	latent transforming growth factor beta binding protein 1	268977
160811_at	0.104455	1.89e-03	14.275.148	Ccz1	CCZ1 vacuolar protein trafficking and biogenesis associated	231874
95540_r_at	0.104455	1.89e-03	14.261.293	Ddx27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	228889
93730_at	0.104875	1.91e-03	14.221.292	Rps15a-ps5///Rps15a-ps6///Rps15a-ps4///Rps15a	ribosomal protein S15A, pseudogene 5///ribosomal protein S15A, pseudogene 6///ribosomal protein S15A, pseudogene 4///ribosomal protein S15A	100042335///100042173///664903///267019
99093_at	0.105635	1.93e-03	14.167.622	Rps10	ribosomal protein S10	67097
95786_at	0.107063	1.97e-03	14.087.527	Reg2	regenerating islet-derived 2	19693
102851_s_at	0.10742	1.99e-03	14.047.758	Ptpn6	protein tyrosine phosphatase, non-receptor type 6	15170
101681_f_at	0.10742	2.00e-03	14.028.253	H2-Bl	histocompatibility 2, blastocyst	14963
92861_i_at	0.10742	2.01e-03	14.007.496	Krt17	keratin 17	16667
95338_s_at	0.108137	2.03e-03	13.957.431	Mmp12	matrix metallopeptidase 12	17381
101652_i_at	0.109747	2.07e-03	13.873.074	H2-D4	histocompatibility 2, D region locus 4	14967
101020_at	0.110394	2.10e-03	13.818.628	Ctsc	cathepsin C	13032
160831_at	0.110394	2.10e-03	13.805.761	Gpn2	GPN-loop GTPase 2	100210
100012_at	0.111751	2.14e-03	13.733.217	Laptm5	lysosomal-associated protein transmembrane 5	16792
160291_at	0.114689	2.21e-03	13.603.554	Sec61a1	Sec61 alpha 1 subunit (S. cerevisiae)	53421
160312_at	0.11731	2.27e-03	1.348.339	Cmtm6	CKLF-like MARVEL transmembrane domain containing 6	67213
103894_at	0.11731	2.28e-03	13.468.506	Shkbp1	Sh3kbp1 binding protein 1	192192
94853_at	0.117487	2.30e-03	13.442.049	Gnb1	guanine nucleotide binding protein (G protein), beta 1	14688
103515_at	0.118258	2.32e-03	13.394.919	Cant1	calcium activated nucleotidase 1	76025
100342_i_at	0.11864	2.34e-03	13.361.711	Tuba1a	tubulin, alpha 1A	22142
101631_at	0.119054	2.36e-03	13.327.573	Sox11	SRY (sex determining region Y)-box 11	20666
99830_at	0.119931	2.39e-03	13.268.598	Kalrn	kalirin, RhoGEF kinase	545156
97998_at	0.119931	2.40e-03	13.258.248	Atn1	atrophin 1	13498
100958_at	0.120215	2.42e-03	13.223.437	Spata13	spermatogenesis associated 13	219140
98773_s_at	0.120215	2.43e-03	13.209.913	Acod1	aconitate decarboxylase 1	16365
102161_f_at	0.123027	2.50e-03	13.096.497	Gm11127///H2-T-ps///H2-K2///Gm7030///LOC547349///H2-T9///H2-T23///H2-T22///H2-L///H2-K1///H2-D1	predicted gene 11127///histocompatibility 2, T region locus, pseudogene///histocompatibility 2, K region locus 2///predicted gene 7030///MHC class I family member///histocompatibility 2, T region locus 9///histocompatibility 2, T region locus 23///histocompatibility 2, T region locus 22///histocompatibility 2, D region locus L///histocompatibility 2, K1, K region///histocompatibility 2, D region locus 1	100529082///667803///630499///630294///547349///15051///15040///15039///14980///14972///14964
93126_at	0.123094	2.52e-03	13.064.493	Ckb	creatine kinase, brain	12709
92700_at	0.123094	2.54e-03	13.032.334	Bcan	brevican	12032
92315_at	0.123094	2.54e-03	13.025.016	Slfn4	schlafen 4	20558
98901_at	0.123094	2.55e-03	13.019.184	Fcf1	FCF1 rRNA processing protein	73736
98822_at	0.123503	2.57e-03	12.987.265	Isg15	ISG15 ubiquitin-like modifier	100038882
97426_at	0.126285	2.65e-03	12.863.324	Emp1	epithelial membrane protein 1	13730
104250_at	0.126285	2.65e-03	12.861.038	Lrrc8a	leucine rich repeat containing 8A	241296
96832_at	0.127204	2.68e-03	12.813.933	Slc39a1	solute carrier family 39 (zinc transporter), member 1	30791
97950_at	0.12851	2.72e-03	1.275.519	Xdh	xanthine dehydrogenase	22436
104751_at	0.13003	2.77e-03	12.681.598	Prph	peripherin	19132
95434_at	0.13003	2.78e-03	12.672.954	Arpc3	actin related protein 2/3 complex, subunit 3	56378
101708_at	0.130849	2.81e-03	12.630.526	Myo1f	myosin IF	17916
99653_at	0.131122	2.83e-03	12.593.531	Rpl14-ps1///Rpl14	ribosomal protein L14, pseudogene 1///ribosomal protein L14	100040970///67115
93198_at	0.131122	2.84e-03	12.587.471	Csf3r	colony stimulating factor 3 receptor (granulocyte)	12986
160320_at	0.13336	2.92e-03	12.477.659	Sorbs1	sorbin and SH3 domain containing 1	20411
160215_at	0.13336	2.92e-03	12.473.326	Aes	amino-terminal enhancer of split	14797
160185_at	0.13336	2.93e-03	12.464.571	Tagln3	transgelin 3	56370
95631_at	0.13336	2.93e-03	12.452.612	Ppp4c	protein phosphatase 4, catalytic subunit	56420
96790_f_at	0.133489	2.95e-03	12.432.014	Galm	galactose mutarotase	319625
103748_at	0.133894	2.97e-03	12.403.463	Cmip	c-Maf inducing protein	74440
92472_f_at	0.137618	3.08e-03	12.270.213	Slfn2	schlafen 2	20556
92471_i_at	0.137618	3.08e-03	12.262.176	Slfn2	schlafen 2	20556
94805_f_at	0.137618	3.09e-03	12.247.419	Gm11336///Hist1h2ao///Hist1h2ai///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist3h2a///Trim17	predicted gene 11336///histone cluster 1, H2ao///histone cluster 1, H2ai///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 3, H2a///tripartite motif-containing 17	100504109///665433///319191///319173///319172///319171///319170///319169///319168///319167///319166///319165///319164///319162///56631
102798_at	0.140388	3.17e-03	12.154.339	Adm	adrenomedullin	11535
100569_at	0.140728	3.19e-03	1.212.895	Anxa2	annexin A2	12306
161753_f_at	0.143037	3.26e-03	12.050.045	Gpd1	glycerol-3-phosphate dehydrogenase 1 (soluble)	14555
97197_r_at	0.143037	3.27e-03	1.203.477	AI506816	expressed sequence AI506816	433855
