#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score	ref	name
Cd4	Mtor	10090.ENSMUSP00000024044	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.677	0.677	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cd4	Ido2	10090.ENSMUSP00000024044	10090.ENSMUSP00000113979	0	0	0	0	0.055	0	0	0.761	0.764	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cd4	Ifnb1	10090.ENSMUSP00000024044	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.798	0.798	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cd4	Ido1	10090.ENSMUSP00000024044	10090.ENSMUSP00000033956	0	0	0	0	0.084	0	0	0.835	0.843	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cd4	Il17a	10090.ENSMUSP00000024044	10090.ENSMUSP00000027061	0	0	0	0	0	0.097	0	0.931	0.935	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cd4	Il2	10090.ENSMUSP00000024044	10090.ENSMUSP00000029275	0	0	0	0	0.048	0.094	0	0.952	0.955	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cd4	Ifng	10090.ENSMUSP00000024044	10090.ENSMUSP00000063800	0	0	0	0	0.084	0	0	0.967	0.968	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cyp24a1	Cyp2r1	10090.ENSMUSP00000047954	10090.ENSMUSP00000032908	0	0	0.212	0.610	0.056	0	0.900	0.385	0.948	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cyp24a1	Cyp27b1	10090.ENSMUSP00000047954	10090.ENSMUSP00000130005	0	0	0.138	0.801	0.104	0.093	0.900	0.216	0.935	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cyp27b1	Rxrg	10090.ENSMUSP00000130005	10090.ENSMUSP00000015987	0	0	0	0	0	0.498	0	0.138	0.549	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cyp27b1	Il10	10090.ENSMUSP00000130005	10090.ENSMUSP00000016673	0	0	0	0	0.047	0	0	0.440	0.443	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cyp27b1	Cyp2r1	10090.ENSMUSP00000130005	10090.ENSMUSP00000032908	0	0	0.226	0.605	0.069	0.604	0.900	0.391	0.979	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cyp27b1	Ifng	10090.ENSMUSP00000130005	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.458	0.457	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido1	Il4	10090.ENSMUSP00000033956	10090.ENSMUSP00000000889	0	0	0	0	0.066	0	0	0.707	0.714	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido1	Il10	10090.ENSMUSP00000033956	10090.ENSMUSP00000016673	0	0	0	0	0.063	0	0	0.873	0.876	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido1	Il17a	10090.ENSMUSP00000033956	10090.ENSMUSP00000027061	0	0	0	0	0.057	0	0	0.696	0.702	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido1	Il2	10090.ENSMUSP00000033956	10090.ENSMUSP00000029275	0	0	0	0	0.066	0.042	0	0.747	0.754	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido1	Mtor	10090.ENSMUSP00000033956	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.490	0.489	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido1	Ifnb1	10090.ENSMUSP00000033956	10090.ENSMUSP00000056720	0	0	0	0	0.049	0	0	0.607	0.610	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido1	Ifng	10090.ENSMUSP00000033956	10090.ENSMUSP00000063800	0	0	0	0	0.178	0	0	0.868	0.887	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido1	Ido2	10090.ENSMUSP00000033956	10090.ENSMUSP00000113979	0	0	0.079	0.923	0	0	0.900	0.095	0.909	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido2	Il4	10090.ENSMUSP00000113979	10090.ENSMUSP00000000889	0	0	0	0	0.086	0	0	0.650	0.666	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido2	Il10	10090.ENSMUSP00000113979	10090.ENSMUSP00000016673	0	0	0	0	0.080	0	0	0.831	0.837	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido2	Il17a	10090.ENSMUSP00000113979	10090.ENSMUSP00000027061	0	0	0	0	0.060	0	0	0.645	0.652	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido2	Il2	10090.ENSMUSP00000113979	10090.ENSMUSP00000029275	0	0	0	0	0.086	0.042	0	0.697	0.712	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido2	Ifnb1	10090.ENSMUSP00000113979	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.490	0.489	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ido2	Ifng	10090.ENSMUSP00000113979	10090.ENSMUSP00000063800	0	0	0	0	0.047	0	0	0.814	0.815	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ifnb1	Il4	10090.ENSMUSP00000056720	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.714	0.714	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ifnb1	Il10	10090.ENSMUSP00000056720	10090.ENSMUSP00000016673	0	0	0	0	0.127	0	0	0.822	0.838	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ifnb1	Il17a	10090.ENSMUSP00000056720	10090.ENSMUSP00000027061	0	0	0	0	0.101	0	0	0.708	0.726	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ifnb1	Il2	10090.ENSMUSP00000056720	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.732	0.732	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ifnb1	Mtor	10090.ENSMUSP00000056720	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.410	0.410	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ifnb1	Ifng	10090.ENSMUSP00000056720	10090.ENSMUSP00000063800	0	0	0	0	0.126	0	0	0.884	0.894	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ifng	Il4	10090.ENSMUSP00000063800	10090.ENSMUSP00000000889	0	0	0	0	0.156	0	0	0.965	0.969	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ifng	Il10	10090.ENSMUSP00000063800	10090.ENSMUSP00000016673	0	0	0	0	0.587	0	0	0.967	0.986	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ifng	Il17a	10090.ENSMUSP00000063800	10090.ENSMUSP00000027061	0	0	0	0	0.136	0	0	0.953	0.958	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ifng	Il2	10090.ENSMUSP00000063800	10090.ENSMUSP00000029275	0	0	0	0	0.305	0	0	0.962	0.972	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Ifng	Mtor	10090.ENSMUSP00000063800	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.652	0.652	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Il10	Il4	10090.ENSMUSP00000016673	10090.ENSMUSP00000000889	0	0	0	0	0.082	0	0	0.960	0.962	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Il10	Mtor	10090.ENSMUSP00000016673	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.775	0.775	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Il10	Il2	10090.ENSMUSP00000016673	10090.ENSMUSP00000029275	0	0	0	0	0.079	0	0	0.941	0.944	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Il10	Il17a	10090.ENSMUSP00000016673	10090.ENSMUSP00000027061	0	0	0	0	0.177	0	0	0.941	0.949	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Il17a	Il4	10090.ENSMUSP00000027061	10090.ENSMUSP00000000889	0	0	0	0	0.166	0	0	0.925	0.934	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Il17a	Mtor	10090.ENSMUSP00000027061	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.518	0.518	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Il17a	Il2	10090.ENSMUSP00000027061	10090.ENSMUSP00000029275	0	0	0	0	0.184	0.127	0	0.891	0.915	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Il2	Il4	10090.ENSMUSP00000029275	10090.ENSMUSP00000000889	0	0	0	0	0.303	0	0	0.998	0.998	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Il2	Mtor	10090.ENSMUSP00000029275	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.613	0.613	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Il4	Mtor	10090.ENSMUSP00000000889	10090.ENSMUSP00000099510	0	0	0	0	0	0.501	0	0.604	0.794	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Akt1	Ngfr	10090.ENSMUSP00000001780	10090.ENSMUSP00000000122	0	0	0	0	0	0.102	0	0.690	0.709	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Ccl3	10090.ENSMUSP00000001780	10090.ENSMUSP00000001008	0	0	0	0	0.079	0	0	0.693	0.706	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Tbx21	10090.ENSMUSP00000001780	10090.ENSMUSP00000001484	0	0	0	0	0.073	0	0	0.486	0.503	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Scap	10090.ENSMUSP00000001780	10090.ENSMUSP00000095953	0	0	0	0	0.084	0	0	0.392	0.419	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Cxcr3	10090.ENSMUSP00000001780	10090.ENSMUSP00000052444	0	0	0	0	0	0	0	0.432	0.432	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Cd276	10090.ENSMUSP00000001780	10090.ENSMUSP00000129418	0	0	0	0	0	0	0	0.490	0.489	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Mbp	10090.ENSMUSP00000001780	10090.ENSMUSP00000046185	0	0	0	0	0	0.088	0	0.500	0.525	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Scd1	10090.ENSMUSP00000001780	10090.ENSMUSP00000036936	0	0	0	0	0	0	0	0.606	0.606	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Foxp3	10090.ENSMUSP00000001780	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.661	0.661	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Il17a	10090.ENSMUSP00000001780	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.665	0.665	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Socs3	10090.ENSMUSP00000001780	10090.ENSMUSP00000059129	0	0	0	0	0	0.073	0	0.660	0.671	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Apoe	10090.ENSMUSP00000001780	10090.ENSMUSP00000133302	0	0	0	0	0	0.051	0	0.671	0.675	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Hmgcr	10090.ENSMUSP00000001780	10090.ENSMUSP00000022176	0	0	0	0	0.042	0.050	0	0.674	0.677	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Il2	10090.ENSMUSP00000001780	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.708	0.708	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	H3c8	10090.ENSMUSP00000001780	10090.ENSMUSP00000079670	0	0	0	0	0	0.095	0	0.700	0.716	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	H3c7	10090.ENSMUSP00000001780	10090.ENSMUSP00000074994	0	0	0	0	0	0.095	0	0.701	0.717	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	H3f3b	10090.ENSMUSP00000001780	10090.ENSMUSP00000102062	0	0	0	0	0	0.095	0	0.701	0.717	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Ngf	10090.ENSMUSP00000001780	10090.ENSMUSP00000102538	0	0	0	0	0	0.092	0	0.733	0.747	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Il10	10090.ENSMUSP00000001780	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.753	0.753	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Cd4	10090.ENSMUSP00000001780	10090.ENSMUSP00000024044	0	0	0	0	0	0.076	0	0.760	0.769	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Cd80	10090.ENSMUSP00000001780	10090.ENSMUSP00000156031	0	0	0	0	0	0.103	0.500	0.576	0.793	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Cd86	10090.ENSMUSP00000001780	10090.ENSMUSP00000087047	0	0	0	0	0.073	0	0.500	0.604	0.800	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Bdnf	10090.ENSMUSP00000001780	10090.ENSMUSP00000057989	0	0	0	0	0	0.071	0	0.799	0.805	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Lep	10090.ENSMUSP00000001780	10090.ENSMUSP00000067046	0	0	0	0	0	0	0	0.827	0.827	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Ctla4	10090.ENSMUSP00000001780	10090.ENSMUSP00000027164	0	0	0	0	0.067	0.054	0.500	0.660	0.829	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Esr1	10090.ENSMUSP00000001780	10090.ENSMUSP00000101215	0	0	0	0	0.053	0.093	0	0.834	0.845	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Tnf	10090.ENSMUSP00000001780	10090.ENSMUSP00000025263	0	0	0	0	0.073	0.071	0	0.880	0.888	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Il6	10090.ENSMUSP00000001780	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.924	0.924	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Nos2	10090.ENSMUSP00000001780	10090.ENSMUSP00000018610	0	0	0	0	0	0.166	0.900	0.675	0.970	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Akt1	Mtor	10090.ENSMUSP00000001780	10090.ENSMUSP00000099510	0	0	0	0	0.052	0.819	0.900	0.928	0.998	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Ccl3	10090.ENSMUSP00000133302	10090.ENSMUSP00000001008	0	0	0	0	0.051	0	0	0.464	0.469	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Il10	10090.ENSMUSP00000133302	10090.ENSMUSP00000016673	0	0	0	0	0.086	0	0	0.745	0.757	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Nos2	10090.ENSMUSP00000133302	10090.ENSMUSP00000018610	0	0	0	0	0	0.069	0	0.503	0.517	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Hmgcr	10090.ENSMUSP00000133302	10090.ENSMUSP00000022176	0	0	0	0	0	0	0	0.731	0.731	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Cd4	10090.ENSMUSP00000133302	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.641	0.641	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Tnf	10090.ENSMUSP00000133302	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.799	0.799	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Il6	10090.ENSMUSP00000133302	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.783	0.783	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Il17a	10090.ENSMUSP00000133302	10090.ENSMUSP00000027061	0	0	0	0	0.067	0	0	0.532	0.545	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Il2	10090.ENSMUSP00000133302	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.436	0.436	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Scd1	10090.ENSMUSP00000133302	10090.ENSMUSP00000036936	0	0	0	0	0.171	0	0	0.530	0.593	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Gc	10090.ENSMUSP00000133302	10090.ENSMUSP00000046636	0	0	0	0	0.079	0	0	0.391	0.415	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Bdnf	10090.ENSMUSP00000133302	10090.ENSMUSP00000057989	0	0	0	0	0	0	0	0.806	0.806	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Lep	10090.ENSMUSP00000133302	10090.ENSMUSP00000067046	0	0	0	0	0	0	0	0.655	0.655	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Cd86	10090.ENSMUSP00000133302	10090.ENSMUSP00000087047	0	0	0	0	0.064	0	0	0.398	0.412	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Mtor	10090.ENSMUSP00000133302	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.458	0.457	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Esr1	10090.ENSMUSP00000133302	10090.ENSMUSP00000101215	0	0	0	0	0	0	0	0.456	0.456	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Ngf	10090.ENSMUSP00000133302	10090.ENSMUSP00000102538	0	0	0	0	0	0	0	0.567	0.567	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Apoe	Foxp3	10090.ENSMUSP00000133302	10090.ENSMUSP00000111405	0	0	0	0	0.077	0	0	0.469	0.488	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Bdnf	Ngfr	10090.ENSMUSP00000057989	10090.ENSMUSP00000000122	0	0	0	0	0	0.292	0.900	0.997	0.999	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Bdnf	Ccl3	10090.ENSMUSP00000057989	10090.ENSMUSP00000001008	0	0	0	0	0	0	0	0.568	0.568	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Bdnf	Il10	10090.ENSMUSP00000057989	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.699	0.699	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Bdnf	Nos2	10090.ENSMUSP00000057989	10090.ENSMUSP00000018610	0	0	0	0	0	0	0	0.457	0.457	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Bdnf	Cd4	10090.ENSMUSP00000057989	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.445	0.445	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Bdnf	Tnf	10090.ENSMUSP00000057989	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.786	0.786	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Bdnf	Il6	10090.ENSMUSP00000057989	10090.ENSMUSP00000026845	0	0	0	0	0.048	0	0	0.858	0.859	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
Bdnf	Il17a	10090.ENSMUSP00000057989	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.466	0.466	PMID:32528735	Multiple Sclerosis Lipids Lymphocytes And Vitamin D
